Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
8017;Rocher - Laborde;OUI;65;11;54;41;13;OUI;OUI;2020-12-07T13:25:43+01:00;48.8759024071,2.32261631638;Paris;
42706;Roger Salengro - Fontainebleau;OUI;25;20;5;3;2;OUI;OUI;2020-12-07T13:26:49+01:00;48.8145486973,2.36116636544;Le Kremlin-Bicêtre;
19044;Grands Moulins de Pantin;OUI;50;47;2;1;1;OUI;OUI;2020-12-07T13:22:44+01:00;48.8973836972,2.39599853754;Paris;
20112;Jourdain - Place des Grandes Rigoles;OUI;22;22;0;0;0;OUI;OUI;2020-12-07T13:26:31+01:00;48.8740311373,2.38959476352;Paris;
41209;Cimetière;OUI;15;15;0;0;0;OUI;OUI;2020-12-07T13:17:22+01:00;48.8470617336,2.47878223658;Fontenay-sous-Bois;
43008;Fontenay - Libération;OUI;25;19;6;2;4;OUI;OUI;2020-12-07T13:19:12+01:00;48.8478030636,2.44514197111;Vincennes;
8045;Place de la Reine Astrid;OUI;58;6;52;47;5;OUI;OUI;2020-12-07T13:24:56+01:00;48.8649209825,2.30254918239;Paris;
33102;Gabriel Péri - Francisco Ferrer;OUI;18;18;2;1;1;OUI;OUI;2020-12-07T13:19:38+01:00;48.8863371024,2.40733891726;Le Pré-Saint-Gervais;
21312;Lucie Aubrac - Fort;OUI;30;27;4;1;3;OUI;OUI;2020-12-07T13:26:37+01:00;48.818144834,2.27118462324;Issy-les-Moulineaux;
15104;Hôpital Européen Georges Pompidou;OUI;65;6;57;44;13;OUI;OUI;2020-12-07T13:23:36+01:00;48.8376953192,2.27537423372;Paris;
18011;Pajol - Place Herbert;OUI;39;29;8;1;7;OUI;OUI;2020-12-07T13:24:38+01:00;48.8927825,2.3635598;Paris;
44006;Concorde - Stalingrad;OUI;35;31;4;3;1;OUI;OUI;2020-12-07T13:24:25+01:00;48.7985844,2.3821302;Vitry-sur-Seine;
13001;Port-Royal - Hôpital du Val-de-Grâce;OUI;18;5;13;9;4;OUI;OUI;2020-12-07T13:25:21+01:00;48.8376682728,2.34481383466;Paris;
19120;Carducci - Place Hannah Arendt;OUI;27;24;1;0;1;OUI;OUI;2020-12-07T13:25:26+01:00;48.8774366815,2.38607436419;Paris;
22202;Jean Marin Naudin - Stalingrad;OUI;30;26;4;0;4;OUI;OUI;2020-12-07T13:21:36+01:00;48.8057138974,2.32020232826;Bagneux;
19103;Manin - Carrières d'Amérique;OUI;20;20;0;0;0;OUI;OUI;2020-12-07T13:18:56+01:00;48.8846721421,2.3919698596;Paris;
